Отметка времени,Возраст,Пол,Образование,Балл,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,А такой?,Как бы ты назвал этот цвет?,А такой?,А такой?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,Что это за цвет?,А вот такой?,А вот такой?,Хорошо идёшь! А это какой цвет?,Здесь тоже есть цвет! Какой?,А это какой цвет?,А это какой цвет?,А это какой цвет?,Ещё чуть-чуть!,Последние три!,Ты молодец!,"Последний, честно!",Можешь вспомнить название?,"Есть ли у тебя особенности зрения, связанные с восприятием цветов (дальтонизм, цветовая агнозия, монохромазия и т.д.)?",Сумма
15.06.2019 0:00:31,22,женский,IT,15,синий,оранжевый,коричневый,зеленый,сиреневый,кофейный,темно-синий,бордовый,маджента,ярко-голубой,персиковый,песочный,графит,фиолетовый,фуксия,черный,небесный,красный,серый,молочный,коралловый,темно-зеленый,белый,светло-зеленый,пудровый,темно-коричневый,серый,желтый,голубой,бежевый,Красочки в коробочку,,
,,,,0,0,0,0,0,1,1,0.5,1,1,0.5,1,1,1,0,1,0,1,0,0,1,1,0.5,0,0.5,1,0.5,1,1,1,0.5,,,15
15.06.2019 10:40:16,22,мужской,IT,6,Синий,Оранжевый,Коричневый,Зеленый,Лиловый,Коричневый,Синий,Бордовый,Голубой,Морской волны,Персиковый,Телесный,Чёрный,Фиолетовый,Розовый,Черный,Синий,Красный,Тёмно-серый,Светло-бежевый,Красный,Зелёный,Белый,Светло-зелёный,Светло-розовый,Тёмно-коричневый,Светло-серый,Жёлтый,Голубой,"Не знаю :с Что-то между оранжевым и розовым, только осветлённое....",Не играл,,0
,,,,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,0.5,0.5,0,0,,,,6
15.06.2019 11:52:08,22,женский,"Филология, лингвистика, иностранные языки",9,синий,оранжевый,коричневый,зеленый,сиреневый,мокко,тёмно-синий,бордовый,фиолетовый,бирюзовый,лососевый,бежевый,графитовый,ярко-фиолетовый,фуксия,черный,небесный,красный,серый,слоновая кость,коралловый,темно-зеленый,белый,салатовый,розовый,темно-коричневый,серый,жёлтый,голубой,персиковый,"Цветной король, Красочки в коробочку",,0
,,,,0,0,0,0,0,0,1,0.5,0.5,0,1,1,1,0,0.5,0.5,0,1,0,0,1,1,0.5,0,1,0,0.5,0,0,0,1,,,9
15.06.2019 12:20:37,22,женский,IT,12,Синий,Горчичный ,Коричневый,Зелёный,Сиреневый,Бледно-коричневый,Темный глубокий синий ,Вишневый,Темно-сиреневый,(Вырвиглазный!!) бирюзовый,Персиковый,Желто-бежевый,Чёрный ,Фуксия ,Светлая фуксия,Глубокий черный ,Бледно-синий ,Красный ,Серо-зелёный ,Молочный,Коралловый,Тёмно-зелёный ,Белый!,Бледно-зелёный ,Бледно-розовый,Темно-коричневый ,Серый,Желтый,Голубой,Бежевый ,Цветной король,Нет,0
,,,,0,0,1,0,0,1,0.5,0.5,1,1,1,1,1,0,1,1,0.5,0.5,0,0.5,1,1,0.5,0,0.5,0.5,0.5,0,0,0,1,,,12
15.06.2019 12:21:56,22,женский,"Филология, лингвистика, иностранные языки",10,Ярко синий,Рыжий,Коричневый,Травяной зелёный ,Лиловый,Кремовый или светло бардовый,Небесно синий,Бархатный,Сиреневый,Ярко голубой,Морковный,Кремовый!!,Черный ,Ярко лиловый или малиновый,Ярко розовый,Чёрный ,Синий,Ярко красный,Серый,Бледно кремовый ,Коралловый,Темно зеленый,Белый,Нежно зелёный ,Бледно розовый,Темно коричневый,"Ну, тоже серый ",Ярко жёлтый ,Ярко голубой,Карамельный,Светофор,Нет,0
,,,,0,0.5,1,0,1,1,1,1,1,1,0.5,1,1,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,,,10
